Corpus,Train/Test,AVG Correct Sentences,STDDEV Correct Sentences,AVG Correct Tags,STDDEV CorrectTags
Brown,Test,0,0,3.47,0.02
Brown,Train,0,0,19.29,0.02
WSJ,Test,,,,
WSJ,Train,,,,
