Corpus,Train/Test,AVG Correct Sentences,STDDEV Correct Sentences,AVG Correct Tags,STDDEV CorrectTags
Brown,Test,27.93,7.38,89.83,2.91
Brown,Train,57.06,0.39,96.54,0.04
WSJ,Test,7.21,2.99,82.23,18.1
WSJ,Train,31.59,16.56,94.56,1.63
