test,0,0.3,0.9109613657,,train,0,0.5715789474,0.965545829
test,1,0.302,0.9050708328,,train,1,0.5646315789,0.9651223348
test,2,0.41,0.9334837867,,train,2,0.5688421053,0.965197475
test,3,0.238,0.8968411127,,train,3,0.5717894737,0.9652278855
test,4,0.278,0.8927726393,,train,4,0.5725263158,0.9656637692
test,5,0.354,0.9223024732,,train,5,0.568,0.9651565813
test,6,0.298,0.9091785112,,train,6,0.5684210526,0.9652942729
test,7,0.348,0.9163980228,,train,7,0.5706315789,0.9652746602
test,8,0.214,0.898663522,,train,8,0.5715789474,0.9649447069
test,9,0.148,0.8869171636,,train,9,0.5765263158,0.9655714666
test,10,0.156,0.8670659507,,train,10,0.5792631579,0.9659441102
test,11,0.192,0.7891902807,,train,11,0.5755789474,0.9664519381
test,12,0.284,0.9001828547,,train,12,0.5665263158,0.9651436238
test,13,0.39,0.9118043088,,train,13,0.5698947368,0.9652781313
test,14,0.378,0.9105376344,,train,14,0.5635789474,0.9650878475
test,15,0.24,0.8992657593,,train,15,0.574,0.9653021704
test,16,0.308,0.9015324421,,train,16,0.5677894737,0.965339139
test,17,0.226,0.903121925,,train,17,0.5708421053,0.9650272211
test,18,0.282,0.9131207644,,train,18,0.5670526316,0.9651503344
test,19,0.24,0.8966815961,,train,19,0.5726315789,0.965504895
,,27.93,89.83,,,,57.06,96.54
,,7.38,2.91,,,,0.39,0.04
